,Ob,Age,Overall,Potential,Special,International Reputation,Weak Foot,Skill Moves,Height,Weight,Positions Average,Exponential Term,Quadratic Term,Top 20 Clubs,Average Club Wages
30,12776,28,76,76,2014,1.0,3.0,3.0,70.0,152.0,73.88461538461539,330.8722450212111,5776,0.0,17091.0
31,12777,26,67,69,1711,1.0,4.0,3.0,74.0,176.0,61.69230769230769,44.40892098500626,4489,0.0,0.0
32,12778,26,73,76,1139,2.0,1.0,1.0,74.0,198.0,0.0,169.40658945086008,5329,0.0,7840.0
33,12779,26,63,64,1625,1.0,4.0,2.0,72.0,168.0,59.84615384615385,18.189894035458565,3969,0.0,0.0
34,12780,28,72,72,2003,1.0,4.0,3.0,70.0,183.0,69.57692307692308,135.52527156068805,5184,0.0,0.0
35,12781,20,75,85,1833,1.0,4.0,4.0,70.0,159.0,65.88461538461539,264.6977960169689,5625,0.0,0.0
36,12782,18,67,84,1683,1.0,3.0,2.0,72.0,165.0,60.23076923076923,44.40892098500626,4489,0.0,6655.0
37,12783,30,70,70,1778,1.0,3.0,3.0,70.0,154.0,62.0,86.73617379884035,4900,0.0,0.0
38,12784,27,63,63,1617,1.0,3.0,2.0,73.0,165.0,58.38461538461539,18.189894035458565,3969,0.0,0.0
39,12785,27,71,71,1763,1.0,4.0,4.0,68.0,161.0,62.15384615384615,108.42021724855044,5041,0.0,0.0
40,12786,25,72,75,2005,1.0,3.0,3.0,71.0,157.0,72.84615384615384,135.52527156068805,5184,0.0,0.0
41,12787,22,64,68,1501,1.0,4.0,2.0,70.0,161.0,51.5,22.737367544323206,4096,0.0,0.0
42,12788,24,56,62,1338,1.0,3.0,2.0,70.0,157.0,46.57692307692308,3.814697265625,3136,0.0,0.0
43,12789,23,62,70,1088,1.0,3.0,1.0,75.0,179.0,0.0,14.551915228366852,3844,0.0,1589.0
44,12790,22,69,75,1627,1.0,3.0,3.0,69.0,154.0,60.80769230769231,69.38893903907228,4761,0.0,0.0
45,12791,25,75,79,1745,2.0,3.0,3.0,76.0,201.0,62.42307692307692,264.6977960169689,5625,0.0,15567.0
46,12792,36,61,61,1610,1.0,3.0,2.0,74.0,194.0,56.57692307692308,11.641532182693481,3721,0.0,0.0
47,12793,28,64,65,1326,1.0,3.0,2.0,74.0,187.0,48.23076923076923,22.737367544323206,4096,0.0,0.0
48,12794,36,63,63,1703,1.0,4.0,3.0,67.0,154.0,63.07692307692308,18.189894035458565,3969,0.0,7343.0
49,12795,23,62,68,1567,1.0,3.0,2.0,71.0,168.0,53.0,14.551915228366852,3844,0.0,1231.0
50,12796,30,70,70,1249,1.0,3.0,1.0,74.0,176.0,0.0,86.73617379884035,4900,0.0,0.0
51,12797,34,76,76,1961,1.0,3.0,3.0,70.0,165.0,72.57692307692308,330.8722450212111,5776,0.0,0.0
52,12798,27,71,71,1924,1.0,4.0,3.0,71.0,183.0,68.88461538461539,108.42021724855044,5041,0.0,0.0
53,12799,28,81,82,1826,3.0,4.0,2.0,73.0,183.0,69.61538461538461,1009.7419586828951,6561,0.0,81144.0
54,12800,25,69,74,1866,1.0,3.0,3.0,70.0,161.0,66.88461538461539,69.38893903907228,4761,0.0,0.0
55,12801,30,68,68,1863,1.0,3.0,3.0,69.0,154.0,67.23076923076923,55.51115123125783,4624,0.0,0.0
56,12802,24,51,54,1187,1.0,3.0,2.0,73.0,176.0,39.61538461538461,1.25,2601,0.0,0.0
57,12803,29,78,78,1674,1.0,2.0,2.0,73.0,196.0,61.88461538461539,516.9878828456423,6084,0.0,0.0
58,12804,19,58,70,1448,1.0,2.0,2.0,72.0,154.0,53.42307692307692,5.9604644775390625,3364,0.0,0.0
59,12805,27,82,83,2110,3.0,3.0,3.0,72.0,168.0,78.84615384615384,1262.177448353619,6724,263.0,0.0
60,12806,24,67,72,1067,1.0,3.0,1.0,76.0,207.0,0.0,44.40892098500626,4489,0.0,0.0
61,12807,18,62,77,1422,1.0,3.0,2.0,71.0,168.0,49.5,14.551915228366852,3844,0.0,0.0
62,12808,27,64,67,1534,1.0,2.0,2.0,72.0,179.0,55.34615384615385,22.737367544323206,4096,0.0,0.0
63,12809,25,69,75,1574,1.0,3.0,2.0,74.0,176.0,57.30769230769231,69.38893903907228,4761,0.0,0.0
64,12810,28,76,76,1923,1.0,3.0,3.0,72.0,161.0,69.34615384615384,330.8722450212111,5776,0.0,0.0
65,12811,18,54,68,1261,1.0,3.0,2.0,71.0,165.0,42.69230769230769,2.44140625,2916,0.0,0.0
66,12812,24,75,81,2005,1.0,3.0,3.0,72.0,170.0,73.23076923076923,264.6977960169689,5625,0.0,13948.0
67,12813,22,57,63,1441,1.0,3.0,2.0,69.0,154.0,51.07692307692308,4.76837158203125,3249,0.0,41978.0
68,12814,21,77,89,1916,1.0,3.0,4.0,74.0,159.0,73.38461538461539,413.59030627651384,5929,221.0,0.0
69,12815,29,68,68,1813,1.0,3.0,4.0,71.0,154.0,63.80769230769231,55.51115123125783,4624,0.0,0.0
70,12816,33,72,72,1845,2.0,3.0,3.0,71.0,141.0,65.3076923076923,135.52527156068805,5184,0.0,0.0
71,12817,33,66,66,1862,1.0,3.0,2.0,72.0,185.0,64.46153846153847,35.52713678800501,4356,0.0,0.0
72,12818,31,71,71,1775,1.0,3.0,3.0,72.0,172.0,62.65384615384615,108.42021724855044,5041,0.0,0.0
73,12819,34,71,71,1851,1.0,3.0,3.0,69.0,165.0,65.42307692307692,108.42021724855044,5041,0.0,0.0
74,12820,28,65,65,1696,1.0,4.0,3.0,70.0,170.0,57.30769230769231,28.421709430404007,4225,0.0,0.0
75,12821,21,59,67,1624,1.0,2.0,3.0,69.0,157.0,57.53846153846154,7.450580596923828,3481,0.0,0.0
76,12822,26,75,75,1793,2.0,2.0,4.0,70.0,152.0,64.1923076923077,264.6977960169689,5625,0.0,0.0
77,12823,27,71,71,1943,1.0,3.0,3.0,71.0,165.0,69.88461538461539,108.42021724855044,5041,0.0,10624.0
78,12824,25,64,69,1062,1.0,2.0,1.0,75.0,187.0,0.0,22.737367544323206,4096,0.0,0.0
79,12825,37,72,72,1173,1.0,2.0,1.0,74.0,179.0,0.0,135.52527156068805,5184,0.0,0.0
80,12826,21,79,86,2018,1.0,3.0,4.0,69.0,150.0,71.46153846153847,646.2348535570528,6241,0.0,0.0
81,12827,22,63,69,1720,1.0,3.0,2.0,72.0,176.0,62.5,18.189894035458565,3969,0.0,0.0
82,12828,27,75,78,1148,1.0,2.0,1.0,76.0,179.0,0.0,264.6977960169689,5625,0.0,0.0
83,12829,23,64,71,1563,1.0,3.0,3.0,70.0,163.0,55.30769230769231,22.737367544323206,4096,0.0,0.0
84,12830,28,71,71,1533,1.0,2.0,2.0,73.0,183.0,57.69230769230769,108.42021724855044,5041,0.0,0.0
85,12831,26,61,62,1612,1.0,4.0,3.0,67.0,141.0,56.19230769230769,11.641532182693481,3721,0.0,0.0
86,12832,33,69,69,1692,1.0,2.0,2.0,74.0,174.0,62.84615384615385,69.38893903907228,4761,0.0,6821.0
87,12833,29,67,68,1388,1.0,2.0,2.0,69.0,165.0,50.61538461538461,44.40892098500626,4489,0.0,0.0
88,12834,32,79,79,1228,2.0,3.0,1.0,77.0,190.0,0.0,646.2348535570528,6241,0.0,14374.0
89,12835,26,72,72,1917,1.0,3.0,3.0,72.0,179.0,70.42307692307692,135.52527156068805,5184,0.0,0.0
90,12836,26,62,63,1644,1.0,3.0,2.0,67.0,154.0,53.65384615384615,14.551915228366852,3844,0.0,0.0
91,12837,26,66,67,1845,1.0,3.0,3.0,67.0,146.0,65.3076923076923,35.52713678800501,4356,0.0,22604.0
92,12838,18,52,72,1402,1.0,3.0,2.0,70.0,143.0,51.5,1.5625,2704,0.0,1231.0
93,12839,36,82,82,1166,4.0,3.0,1.0,77.0,198.0,0.0,1262.177448353619,6724,263.0,0.0
94,12840,29,75,75,1934,1.0,4.0,4.0,72.0,159.0,69.26923076923077,264.6977960169689,5625,0.0,5912.0
95,12841,36,71,71,1790,2.0,5.0,2.0,72.0,157.0,66.26923076923077,108.42021724855044,5041,0.0,15567.0
96,12842,20,60,74,1307,1.0,3.0,2.0,74.0,190.0,47.0,9.313225746154785,3600,0.0,0.0
97,12843,25,62,68,1444,1.0,3.0,2.0,72.0,176.0,55.53846153846154,14.551915228366852,3844,0.0,0.0
98,12844,21,66,79,1818,1.0,3.0,2.0,70.0,172.0,64.1923076923077,35.52713678800501,4356,0.0,0.0
99,12845,16,52,73,1331,1.0,3.0,2.0,70.0,159.0,43.53846153846154,1.5625,2704,0.0,0.0
100,12846,20,67,82,1722,1.0,4.0,2.0,73.0,143.0,63.73076923076923,44.40892098500626,4489,0.0,0.0
101,12847,26,64,65,1601,1.0,2.0,2.0,74.0,185.0,58.61538461538461,22.737367544323206,4096,0.0,0.0
102,12848,27,69,70,1862,1.0,3.0,3.0,72.0,157.0,66.03846153846153,69.38893903907228,4761,0.0,0.0
103,12849,25,77,80,1971,2.0,4.0,3.0,71.0,168.0,68.92307692307692,413.59030627651384,5929,0.0,0.0
104,12850,23,64,71,1563,1.0,3.0,2.0,71.0,170.0,53.92307692307692,22.737367544323206,4096,0.0,0.0
105,12851,29,71,71,1856,1.0,3.0,3.0,72.0,170.0,67.07692307692308,108.42021724855044,5041,0.0,0.0
106,12852,30,70,70,1734,1.0,4.0,3.0,74.0,185.0,61.61538461538461,86.73617379884035,4900,0.0,0.0
107,12853,32,77,77,2065,1.0,2.0,4.0,76.0,183.0,72.61538461538461,413.59030627651384,5929,0.0,18506.0
108,12854,18,52,66,791,1.0,2.0,1.0,75.0,165.0,0.0,1.5625,2704,0.0,0.0
109,12855,23,67,71,1698,1.0,2.0,2.0,71.0,181.0,60.84615384615385,44.40892098500626,4489,0.0,0.0
110,12856,22,63,67,1682,1.0,3.0,2.0,70.0,152.0,61.38461538461539,18.189894035458565,3969,0.0,0.0
111,12857,23,72,78,1972,1.0,3.0,3.0,69.0,163.0,69.57692307692308,135.52527156068805,5184,0.0,0.0
112,12858,28,68,68,1749,1.0,3.0,3.0,70.0,154.0,62.19230769230769,55.51115123125783,4624,0.0,9373.0
113,12859,35,70,70,1888,1.0,2.0,3.0,70.0,170.0,67.53846153846153,86.73617379884035,4900,0.0,0.0
114,12860,27,71,71,1760,1.0,3.0,3.0,72.0,159.0,65.5,108.42021724855044,5041,0.0,0.0
115,12861,20,70,84,1667,1.0,3.0,3.0,74.0,176.0,60.07692307692308,86.73617379884035,4900,281.0,0.0
116,12862,28,72,72,1794,1.0,3.0,3.0,67.0,146.0,62.30769230769231,135.52527156068805,5184,0.0,0.0
117,12863,33,80,80,2074,2.0,4.0,5.0,71.0,168.0,75.73076923076923,807.7935669463161,6400,0.0,7842.0
118,12864,21,59,67,1032,1.0,3.0,1.0,72.0,170.0,0.0,7.450580596923828,3481,0.0,0.0
119,12865,25,67,69,1758,1.0,3.0,3.0,71.0,152.0,61.0,44.40892098500626,4489,0.0,0.0
120,12866,21,64,74,1348,1.0,3.0,2.0,71.0,165.0,49.57692307692308,22.737367544323206,4096,0.0,0.0
121,12867,34,73,73,1676,2.0,3.0,2.0,74.0,172.0,62.19230769230769,169.40658945086008,5329,0.0,0.0
122,12868,20,61,74,1500,1.0,2.0,2.0,68.0,143.0,53.76923076923077,11.641532182693481,3721,0.0,0.0
123,12869,28,69,71,1571,1.0,3.0,2.0,74.0,190.0,54.88461538461539,69.38893903907228,4761,0.0,0.0
124,12870,20,68,78,1643,1.0,3.0,2.0,71.0,185.0,55.42307692307692,55.51115123125783,4624,0.0,0.0
125,12871,28,77,77,2015,1.0,4.0,4.0,68.0,168.0,71.38461538461539,413.59030627651384,5929,0.0,41755.0
126,12872,24,60,66,1536,1.0,3.0,3.0,67.0,146.0,55.26923076923077,9.313225746154785,3600,0.0,5492.0
127,12873,32,70,70,1833,1.0,3.0,2.0,72.0,172.0,64.96153846153847,86.73617379884035,4900,0.0,0.0
128,12874,24,64,66,1548,1.0,4.0,2.0,68.0,143.0,54.88461538461539,22.737367544323206,4096,0.0,0.0
129,12875,34,77,77,1191,3.0,3.0,1.0,76.0,196.0,0.0,413.59030627651384,5929,0.0,39595.0
130,12876,29,66,66,1426,1.0,3.0,2.0,72.0,165.0,51.76923076923077,35.52713678800501,4356,0.0,4454.0
131,12877,19,56,73,1506,1.0,2.0,2.0,70.0,141.0,53.23076923076923,3.814697265625,3136,0.0,0.0
132,12878,25,69,71,1838,1.0,3.0,3.0,73.0,185.0,66.96153846153847,69.38893903907228,4761,0.0,0.0
133,12879,22,65,74,1420,1.0,2.0,2.0,74.0,185.0,50.19230769230769,28.421709430404007,4225,0.0,6460.0
134,12880,18,59,76,1436,1.0,2.0,2.0,66.0,141.0,52.53846153846154,7.450580596923828,3481,0.0,0.0
135,12881,17,65,84,1721,1.0,3.0,3.0,73.0,172.0,63.26923076923077,28.421709430404007,4225,292.0,0.0
136,12882,18,60,77,1446,1.0,3.0,2.0,69.0,132.0,51.07692307692308,9.313225746154785,3600,0.0,0.0
137,12883,23,68,75,1702,1.0,3.0,3.0,70.0,157.0,63.11538461538461,55.51115123125783,4624,0.0,0.0
138,12884,31,64,64,1702,1.0,2.0,2.0,71.0,179.0,59.84615384615385,22.737367544323206,4096,0.0,0.0
139,12885,22,59,67,1546,1.0,3.0,2.0,71.0,159.0,54.76923076923077,7.450580596923828,3481,0.0,0.0
140,12886,36,71,71,1843,1.0,3.0,3.0,68.0,152.0,66.76923076923077,108.42021724855044,5041,0.0,0.0
141,12887,28,73,73,1822,1.0,3.0,3.0,69.0,170.0,68.11538461538461,169.40658945086008,5329,0.0,0.0
142,12888,30,72,72,1772,1.0,3.0,2.0,72.0,168.0,64.88461538461539,135.52527156068805,5184,0.0,0.0
143,12889,26,61,64,1565,1.0,3.0,2.0,71.0,152.0,57.23076923076923,11.641532182693481,3721,0.0,0.0
144,12890,36,57,57,1538,1.0,4.0,3.0,65.0,146.0,51.88461538461539,4.76837158203125,3249,0.0,0.0
145,12891,25,66,70,1556,1.0,3.0,2.0,75.0,176.0,55.07692307692308,35.52713678800501,4356,0.0,0.0
146,12892,31,73,73,1913,2.0,3.0,3.0,69.0,154.0,68.1923076923077,169.40658945086008,5329,0.0,0.0
147,12893,36,74,74,1736,2.0,3.0,3.0,71.0,174.0,60.80769230769231,211.75823681357508,5476,0.0,13514.0
148,12894,25,84,85,2079,3.0,5.0,4.0,72.0,143.0,76.11538461538461,1972.1522630525294,7056,140.0,0.0
149,12895,21,56,67,1396,1.0,3.0,2.0,69.0,143.0,48.30769230769231,3.814697265625,3136,0.0,0.0
150,12896,25,81,81,2053,2.0,5.0,4.0,67.0,134.0,73.8076923076923,1009.7419586828951,6561,0.0,71381.0
151,12897,24,57,61,1428,1.0,2.0,2.0,66.0,154.0,51.34615384615385,4.76837158203125,3249,0.0,0.0
152,12898,21,67,78,1580,1.0,2.0,2.0,72.0,179.0,55.23076923076923,44.40892098500626,4489,0.0,0.0
153,12899,31,71,71,1849,1.0,4.0,3.0,70.0,159.0,65.42307692307692,108.42021724855044,5041,0.0,0.0
154,12900,22,71,79,1938,1.0,3.0,3.0,70.0,152.0,70.61538461538461,108.42021724855044,5041,0.0,0.0
155,12901,20,62,75,1604,1.0,3.0,3.0,67.0,150.0,57.15384615384615,14.551915228366852,3844,0.0,0.0
156,12902,20,61,69,1544,1.0,5.0,3.0,76.0,183.0,56.23076923076923,11.641532182693481,3721,0.0,0.0
157,12903,22,71,80,1699,1.0,3.0,3.0,69.0,148.0,61.30769230769231,108.42021724855044,5041,0.0,0.0
158,12904,26,67,68,1690,1.0,3.0,3.0,70.0,165.0,59.19230769230769,44.40892098500626,4489,0.0,0.0
159,12905,24,61,66,1407,1.0,2.0,2.0,69.0,163.0,49.19230769230769,11.641532182693481,3721,0.0,6655.0
160,12906,22,78,83,1897,2.0,3.0,3.0,71.0,157.0,71.07692307692308,516.9878828456423,6084,0.0,39791.0
161,12907,33,68,68,1434,1.0,2.0,2.0,71.0,183.0,51.84615384615385,55.51115123125783,4624,0.0,0.0
162,12908,22,66,72,1440,1.0,3.0,2.0,80.0,209.0,54.88461538461539,35.52713678800501,4356,0.0,0.0
163,12909,23,63,73,1415,1.0,2.0,2.0,72.0,165.0,49.26923076923077,18.189894035458565,3969,0.0,0.0
164,12910,33,71,71,1815,1.0,4.0,4.0,72.0,165.0,64.07692307692308,108.42021724855044,5041,0.0,0.0
165,12911,28,68,68,1629,1.0,3.0,3.0,69.0,148.0,60.92307692307692,55.51115123125783,4624,0.0,0.0
166,12912,19,54,66,866,1.0,3.0,1.0,72.0,161.0,0.0,2.44140625,2916,0.0,0.0
167,12913,26,50,52,1232,1.0,3.0,2.0,69.0,137.0,42.30769230769231,1.0,2500,0.0,0.0
168,12914,21,71,79,1819,1.0,3.0,3.0,74.0,176.0,68.96153846153847,108.42021724855044,5041,0.0,0.0
169,12915,23,63,69,1501,1.0,3.0,2.0,74.0,187.0,54.57692307692308,18.189894035458565,3969,0.0,0.0
170,12916,31,64,64,1763,1.0,3.0,2.0,69.0,143.0,60.80769230769231,22.737367544323206,4096,0.0,9717.0
171,12917,30,75,75,2018,1.0,3.0,3.0,71.0,165.0,73.5,264.6977960169689,5625,0.0,41978.0
172,12918,22,67,75,1742,1.0,3.0,2.0,70.0,157.0,62.84615384615385,44.40892098500626,4489,0.0,0.0
173,12919,26,65,66,1578,1.0,3.0,3.0,73.0,172.0,56.57692307692308,28.421709430404007,4225,0.0,0.0
174,12920,34,66,66,1056,1.0,3.0,1.0,73.0,185.0,0.0,35.52713678800501,4356,0.0,0.0
175,12921,25,68,71,1092,1.0,2.0,1.0,74.0,185.0,0.0,55.51115123125783,4624,0.0,0.0
176,12922,28,55,55,1040,1.0,1.0,1.0,72.0,179.0,0.0,3.0517578125,3025,0.0,5280.0
177,12923,30,62,62,1677,1.0,2.0,2.0,74.0,161.0,60.30769230769231,14.551915228366852,3844,0.0,0.0
178,12924,29,75,75,1678,1.0,3.0,2.0,73.0,172.0,62.69230769230769,264.6977960169689,5625,0.0,17091.0
179,12925,23,69,79,1784,1.0,3.0,3.0,71.0,161.0,66.42307692307692,69.38893903907228,4761,0.0,0.0
180,12926,31,79,79,2012,3.0,3.0,4.0,69.0,159.0,72.6923076923077,646.2348535570528,6241,0.0,70255.0
181,12927,27,67,69,1615,1.0,3.0,2.0,73.0,183.0,58.65384615384615,44.40892098500626,4489,0.0,0.0
182,12928,27,69,69,1815,1.0,3.0,3.0,69.0,174.0,62.53846153846154,69.38893903907228,4761,0.0,5912.0
183,12929,20,66,79,1610,1.0,2.0,3.0,73.0,154.0,57.30769230769231,35.52713678800501,4356,0.0,0.0
184,12930,19,54,70,1213,1.0,2.0,2.0,74.0,168.0,39.88461538461539,2.44140625,2916,0.0,0.0
185,12931,26,71,72,1615,1.0,3.0,2.0,75.0,183.0,59.26923076923077,108.42021724855044,5041,0.0,0.0
186,12932,21,70,79,1752,1.0,3.0,3.0,70.0,163.0,67.15384615384616,86.73617379884035,4900,0.0,0.0
187,12933,21,67,79,1604,1.0,3.0,3.0,70.0,181.0,59.26923076923077,44.40892098500626,4489,0.0,9662.0
188,12934,22,62,70,1571,1.0,3.0,2.0,72.0,170.0,57.53846153846154,14.551915228366852,3844,0.0,0.0
189,12935,22,68,79,1776,1.0,3.0,3.0,71.0,170.0,65.65384615384616,55.51115123125783,4624,0.0,0.0
190,12936,19,55,74,1229,1.0,3.0,2.0,71.0,165.0,43.53846153846154,3.0517578125,3025,0.0,0.0
191,12937,25,72,74,1855,1.0,3.0,3.0,71.0,159.0,66.1923076923077,135.52527156068805,5184,0.0,0.0
192,12938,23,65,70,1833,1.0,4.0,2.0,69.0,163.0,65.0,28.421709430404007,4225,0.0,0.0
193,12939,25,68,73,1683,1.0,3.0,3.0,69.0,154.0,59.61538461538461,55.51115123125783,4624,0.0,0.0
194,12940,18,55,69,1418,1.0,3.0,2.0,71.0,161.0,50.96153846153846,3.0517578125,3025,0.0,0.0
195,12941,32,64,64,1617,1.0,3.0,2.0,69.0,161.0,56.5,22.737367544323206,4096,0.0,1231.0
196,12942,22,61,68,1577,1.0,3.0,2.0,70.0,132.0,54.46153846153846,11.641532182693481,3721,0.0,0.0
197,12943,29,75,75,2008,1.0,3.0,3.0,70.0,163.0,72.15384615384616,264.6977960169689,5625,0.0,0.0
198,12944,27,65,67,1429,1.0,3.0,2.0,72.0,165.0,49.53846153846154,28.421709430404007,4225,0.0,23246.0
199,12945,28,65,65,1834,1.0,3.0,3.0,71.0,168.0,64.53846153846153,28.421709430404007,4225,0.0,0.0
200,12946,26,67,68,1620,1.0,2.0,2.0,72.0,172.0,58.03846153846154,44.40892098500626,4489,0.0,0.0
201,12947,31,76,76,1963,2.0,3.0,3.0,72.0,174.0,72.42307692307692,330.8722450212111,5776,0.0,10624.0
202,12948,31,66,66,1837,1.0,3.0,3.0,70.0,157.0,65.57692307692308,35.52713678800501,4356,0.0,23928.0
203,12949,26,74,77,1836,1.0,3.0,2.0,72.0,172.0,66.15384615384616,211.75823681357508,5476,0.0,0.0
204,12950,31,70,70,1401,1.0,3.0,2.0,76.0,205.0,52.07692307692308,86.73617379884035,4900,0.0,0.0
205,12951,22,81,86,2019,3.0,4.0,4.0,69.0,154.0,72.76923076923077,1009.7419586828951,6561,0.0,0.0
206,12952,33,75,75,1896,2.0,3.0,2.0,71.0,174.0,69.0,264.6977960169689,5625,0.0,19086.0
207,12953,21,66,72,1646,1.0,4.0,3.0,70.0,159.0,58.96153846153846,35.52713678800501,4356,0.0,0.0
208,12954,25,67,72,1448,1.0,3.0,2.0,76.0,194.0,52.0,44.40892098500626,4489,0.0,0.0
209,12955,24,67,72,1855,1.0,3.0,3.0,69.0,172.0,63.76923076923077,44.40892098500626,4489,0.0,0.0
210,12956,19,63,79,1463,1.0,2.0,2.0,71.0,168.0,52.15384615384615,18.189894035458565,3969,0.0,6975.0
211,12957,25,70,73,1776,1.0,3.0,3.0,72.0,170.0,62.80769230769231,86.73617379884035,4900,0.0,0.0
212,12958,33,71,71,1603,1.0,3.0,2.0,76.0,194.0,58.53846153846154,108.42021724855044,5041,0.0,0.0
213,12959,23,57,61,1380,1.0,2.0,2.0,74.0,176.0,47.15384615384615,4.76837158203125,3249,0.0,0.0
214,12960,19,52,68,752,1.0,2.0,1.0,75.0,176.0,0.0,1.5625,2704,0.0,0.0
215,12961,26,67,68,1060,1.0,2.0,1.0,74.0,194.0,0.0,44.40892098500626,4489,0.0,6460.0
216,12962,24,66,72,1649,1.0,3.0,3.0,72.0,170.0,58.03846153846154,35.52713678800501,4356,0.0,0.0
217,12963,27,60,61,1019,1.0,3.0,1.0,73.0,176.0,0.0,9.313225746154785,3600,0.0,0.0
218,12964,27,63,65,1305,1.0,2.0,2.0,76.0,181.0,49.53846153846154,18.189894035458565,3969,0.0,0.0
219,12965,26,63,67,1635,1.0,3.0,2.0,74.0,165.0,58.69230769230769,18.189894035458565,3969,0.0,0.0
220,12966,22,57,70,1212,1.0,2.0,2.0,74.0,176.0,42.5,4.76837158203125,3249,0.0,3780.0
221,12967,21,69,78,1390,1.0,3.0,2.0,74.0,168.0,51.30769230769231,69.38893903907228,4761,0.0,30150.0
222,12968,24,74,78,1942,1.0,5.0,3.0,70.0,161.0,71.23076923076923,211.75823681357508,5476,0.0,0.0
223,12969,27,71,71,1772,1.0,3.0,3.0,69.0,165.0,63.53846153846154,108.42021724855044,5041,0.0,5299.0
224,12970,28,73,73,1960,1.0,3.0,3.0,72.0,172.0,71.3076923076923,169.40658945086008,5329,0.0,0.0
225,12971,24,65,68,1647,1.0,3.0,2.0,71.0,170.0,60.96153846153846,28.421709430404007,4225,0.0,0.0
226,12972,25,64,69,1679,1.0,3.0,3.0,67.0,139.0,58.80769230769231,22.737367544323206,4096,0.0,0.0
227,12973,23,58,65,1053,1.0,2.0,1.0,72.0,201.0,0.0,5.9604644775390625,3364,0.0,9373.0
228,12974,19,63,76,1373,1.0,3.0,2.0,73.0,176.0,49.46153846153846,18.189894035458565,3969,0.0,13866.0
