,Ob,WageNew,Age,Overall,Potential,Special,International Reputation,Weak Foot,Skill Moves,Height,Weight,Positions Average,Exponential Term,Quadratic Term,Top 20 Clubs,Average Club Wages
55,56,346,18,56,75,1508,1.0,2.0,2.0,70.0,150.0,53.53846153846154,3.814697265625,3136,0.0,0.0
56,57,4861,28,64,65,1062,1.0,2.0,1.0,73.0,190.0,0.0,22.737367544323206,4096,0.0,0.0
57,58,1570,20,57,73,1519,1.0,3.0,2.0,69.0,168.0,55.65384615384615,4.76837158203125,3249,0.0,0.0
58,59,19764,26,74,75,1976,1.0,3.0,2.0,69.0,165.0,69.6923076923077,211.75823681357508,5476,0.0,0.0
59,60,9769,21,71,80,1714,1.0,5.0,3.0,74.0,170.0,61.23076923076923,108.42021724855044,5041,0.0,0.0
60,61,17926,27,74,75,2065,1.0,3.0,3.0,69.0,157.0,75.0,211.75823681357508,5476,0.0,13436.0
61,62,9560,28,74,74,1576,1.0,3.0,2.0,76.0,185.0,59.57692307692308,211.75823681357508,5476,0.0,5280.0
62,63,3002,20,57,69,1451,1.0,3.0,2.0,74.0,176.0,50.61538461538461,4.76837158203125,3249,0.0,0.0
63,64,1753,24,62,68,1358,1.0,2.0,2.0,76.0,192.0,49.80769230769231,14.551915228366852,3844,0.0,0.0
64,65,3691,21,62,73,1632,1.0,3.0,2.0,70.0,157.0,57.15384615384615,14.551915228366852,3844,0.0,0.0
65,66,5114,28,61,61,1070,1.0,2.0,1.0,72.0,172.0,0.0,11.641532182693481,3721,0.0,0.0
66,67,190545,22,84,90,2064,3.0,3.0,4.0,72.0,168.0,74.76923076923077,1972.1522630525294,7056,321.0,0.0
67,68,2525,20,50,64,1318,1.0,3.0,2.0,74.0,179.0,46.57692307692308,1.0,2500,0.0,0.0
68,69,1249,24,59,63,1542,1.0,4.0,2.0,71.0,159.0,54.19230769230769,7.450580596923828,3481,0.0,0.0
69,70,3883,28,67,67,1850,1.0,4.0,2.0,72.0,163.0,64.73076923076923,44.40892098500626,4489,0.0,0.0
70,71,1294,28,66,66,1701,1.0,2.0,2.0,70.0,154.0,62.61538461538461,35.52713678800501,4356,0.0,0.0
71,72,3980,21,65,79,1715,1.0,3.0,2.0,73.0,168.0,64.23076923076923,28.421709430404007,4225,0.0,0.0
72,73,1726,21,50,61,857,1.0,2.0,1.0,74.0,183.0,0.0,1.0,2500,0.0,18506.0
73,74,21969,34,77,77,1932,2.0,3.0,3.0,69.0,159.0,67.57692307692308,413.59030627651384,5929,0.0,0.0
74,75,837,26,69,69,1774,1.0,4.0,3.0,65.0,150.0,61.38461538461539,69.38893903907228,4761,0.0,0.0
75,76,20987,26,67,68,1782,1.0,3.0,3.0,71.0,179.0,64.03846153846153,44.40892098500626,4489,0.0,0.0
76,77,50759,28,76,76,2055,2.0,3.0,3.0,66.0,137.0,75.15384615384616,330.8722450212111,5776,0.0,0.0
77,78,1685,21,63,69,1661,1.0,3.0,2.0,69.0,152.0,59.19230769230769,18.189894035458565,3969,0.0,0.0
78,79,1406,20,60,74,1543,1.0,2.0,3.0,71.0,163.0,59.80769230769231,9.313225746154785,3600,0.0,0.0
79,80,6059,25,62,64,1665,,,,0.0,0.0,0.0,14.551915228366852,3844,0.0,0.0
80,81,1507,18,57,71,1556,1.0,3.0,2.0,69.0,154.0,55.84615384615385,4.76837158203125,3249,0.0,0.0
81,82,2765,36,67,67,1716,1.0,3.0,2.0,71.0,183.0,59.03846153846154,44.40892098500626,4489,0.0,0.0
82,83,1512,21,59,70,1516,1.0,3.0,2.0,71.0,163.0,54.84615384615385,7.450580596923828,3481,0.0,0.0
83,84,7167,26,68,69,1836,1.0,2.0,3.0,71.0,190.0,65.46153846153847,55.51115123125783,4624,0.0,0.0
84,85,1169,19,57,69,1575,1.0,3.0,2.0,69.0,139.0,55.30769230769231,4.76837158203125,3249,0.0,0.0
85,86,5521,27,68,69,1873,1.0,3.0,3.0,69.0,163.0,65.96153846153847,55.51115123125783,4624,0.0,0.0
86,87,3847,23,65,75,1720,1.0,3.0,2.0,73.0,170.0,61.57692307692308,28.421709430404007,4225,0.0,0.0
87,88,5385,28,70,70,1792,1.0,3.0,2.0,71.0,176.0,60.23076923076923,86.73617379884035,4900,0.0,0.0
88,89,1778,21,67,78,1601,1.0,3.0,3.0,68.0,159.0,58.80769230769231,44.40892098500626,4489,0.0,0.0
89,90,3955,29,66,66,1662,1.0,3.0,3.0,69.0,170.0,59.07692307692308,35.52713678800501,4356,0.0,0.0
90,91,1339,17,57,71,1413,1.0,3.0,3.0,69.0,150.0,51.11538461538461,4.76837158203125,3249,0.0,0.0
91,92,37035,31,81,81,1980,2.0,3.0,4.0,72.0,161.0,72.42307692307692,1009.7419586828951,6561,0.0,18276.0
92,93,6059,24,69,72,1778,1.0,3.0,4.0,69.0,150.0,63.65384615384615,69.38893903907228,4761,0.0,0.0
93,94,1675,22,64,72,1646,1.0,2.0,3.0,71.0,150.0,62.03846153846154,22.737367544323206,4096,0.0,0.0
94,95,6110,27,70,70,1808,1.0,3.0,3.0,74.0,172.0,66.8076923076923,86.73617379884035,4900,0.0,0.0
95,96,1199,26,76,80,1598,1.0,2.0,2.0,77.0,192.0,58.34615384615385,330.8722450212111,5776,0.0,0.0
96,97,47485,29,74,74,1790,1.0,3.0,3.0,68.0,159.0,64.5,211.75823681357508,5476,0.0,26916.0
97,98,11969,22,71,76,1856,1.0,3.0,3.0,70.0,159.0,66.57692307692308,108.42021724855044,5041,0.0,0.0
98,99,1160,26,63,64,1721,1.0,3.0,2.0,77.0,165.0,63.19230769230769,18.189894035458565,3969,0.0,0.0
99,100,1260,31,68,68,1926,1.0,2.0,3.0,71.0,165.0,67.88461538461539,55.51115123125783,4624,0.0,0.0
100,101,2918,24,65,73,999,1.0,3.0,1.0,75.0,181.0,0.0,28.421709430404007,4225,0.0,0.0
101,102,1167,22,60,65,1509,1.0,3.0,2.0,69.0,152.0,51.92307692307692,9.313225746154785,3600,0.0,0.0
102,103,29994,21,73,78,1697,1.0,2.0,3.0,74.0,163.0,61.76923076923077,169.40658945086008,5329,0.0,31326.0
103,104,2684,21,56,65,813,1.0,2.0,1.0,75.0,165.0,0.0,3.814697265625,3136,0.0,20604.0
104,105,3048,21,63,73,1527,1.0,3.0,3.0,67.0,157.0,53.23076923076923,18.189894035458565,3969,0.0,0.0
105,106,1516,22,61,69,1102,1.0,2.0,1.0,73.0,165.0,0.0,11.641532182693481,3721,0.0,0.0
106,107,5837,26,63,64,1603,1.0,3.0,4.0,68.0,132.0,58.07692307692308,18.189894035458565,3969,0.0,0.0
107,108,61171,28,77,77,1789,1.0,2.0,2.0,74.0,185.0,63.53846153846154,413.59030627651384,5929,0.0,67544.0
108,109,50734,28,74,74,1763,1.0,3.0,3.0,76.0,176.0,62.73076923076923,211.75823681357508,5476,0.0,41755.0
109,110,13045,18,65,78,1506,1.0,3.0,2.0,74.0,168.0,54.57692307692308,28.421709430404007,4225,372.0,0.0
110,111,1210,18,54,72,1276,1.0,2.0,2.0,67.0,148.0,44.84615384615385,2.44140625,2916,0.0,0.0
111,112,3015,27,59,59,1611,1.0,2.0,2.0,72.0,183.0,55.34615384615385,7.450580596923828,3481,0.0,0.0
112,113,15055,26,67,68,1811,1.0,3.0,3.0,72.0,176.0,66.0,44.40892098500626,4489,0.0,41755.0
113,114,3122,28,64,64,1787,1.0,4.0,2.0,74.0,172.0,64.11538461538461,22.737367544323206,4096,0.0,1198.0
114,115,58726,27,77,77,1742,2.0,2.0,2.0,73.0,183.0,62.19230769230769,413.59030627651384,5929,156.0,0.0
115,116,607,24,59,63,1134,1.0,2.0,1.0,76.0,194.0,0.0,7.450580596923828,3481,0.0,0.0
116,117,3725,22,63,69,1056,1.0,2.0,1.0,76.0,187.0,0.0,18.189894035458565,3969,0.0,14374.0
117,118,3095,27,64,65,1699,1.0,2.0,3.0,71.0,159.0,61.92307692307692,22.737367544323206,4096,0.0,0.0
118,119,2856,32,66,66,1683,1.0,3.0,2.0,70.0,141.0,56.5,35.52713678800501,4356,0.0,0.0
119,120,4740,25,65,71,974,1.0,2.0,1.0,71.0,152.0,0.0,28.421709430404007,4225,0.0,0.0
120,121,7108,32,73,73,1678,1.0,3.0,2.0,73.0,176.0,61.38461538461539,169.40658945086008,5329,0.0,0.0
121,122,4216,24,64,70,1698,1.0,2.0,2.0,76.0,159.0,63.07692307692308,22.737367544323206,4096,0.0,0.0
122,123,17422,22,71,76,1678,1.0,3.0,3.0,76.0,185.0,58.92307692307692,108.42021724855044,5041,0.0,11330.0
123,124,3724,22,64,71,1529,1.0,3.0,2.0,69.0,154.0,55.34615384615385,22.737367544323206,4096,0.0,0.0
124,125,5108,23,66,73,1767,1.0,5.0,3.0,73.0,172.0,65.46153846153847,35.52713678800501,4356,0.0,0.0
125,126,4891,25,66,70,1359,1.0,3.0,2.0,76.0,196.0,48.46153846153846,35.52713678800501,4356,0.0,0.0
126,127,69577,26,77,78,1667,2.0,3.0,3.0,73.0,187.0,59.03846153846154,413.59030627651384,5929,0.0,14685.0
127,128,5849,23,71,79,1718,1.0,2.0,2.0,76.0,187.0,64.1923076923077,108.42021724855044,5041,0.0,0.0
128,129,84152,27,82,83,2253,3.0,3.0,4.0,68.0,148.0,80.76923076923077,1262.177448353619,6724,156.0,0.0
129,130,43017,24,72,75,1901,1.0,3.0,3.0,72.0,159.0,70.46153846153847,135.52527156068805,5184,0.0,0.0
130,131,44533,29,71,71,1930,1.0,3.0,3.0,72.0,174.0,70.53846153846153,108.42021724855044,5041,0.0,68591.0
131,132,1390,27,62,64,1044,1.0,3.0,1.0,75.0,176.0,0.0,14.551915228366852,3844,0.0,0.0
132,133,3315,21,57,68,1518,1.0,3.0,2.0,70.0,163.0,55.69230769230769,4.76837158203125,3249,0.0,0.0
133,134,2797,30,64,64,1730,1.0,5.0,2.0,70.0,154.0,62.57692307692308,22.737367544323206,4096,0.0,5299.0
134,135,14144,30,76,76,1850,1.0,4.0,3.0,70.0,159.0,65.76923076923077,330.8722450212111,5776,0.0,6914.0
135,136,2435,22,54,59,1322,1.0,3.0,2.0,70.0,172.0,43.80769230769231,2.44140625,2916,0.0,0.0
136,137,3159,23,65,73,1749,1.0,4.0,2.0,73.0,165.0,62.69230769230769,28.421709430404007,4225,0.0,0.0
137,138,22509,30,75,75,2021,1.0,2.0,3.0,70.0,154.0,72.65384615384616,264.6977960169689,5625,0.0,0.0
138,139,8166,24,71,75,1903,1.0,3.0,3.0,70.0,159.0,69.42307692307692,108.42021724855044,5041,0.0,0.0
139,140,3474,19,69,81,1667,1.0,3.0,2.0,73.0,165.0,62.15384615384615,69.38893903907228,4761,0.0,0.0
140,141,5092,26,62,63,1610,1.0,3.0,2.0,69.0,154.0,52.84615384615385,14.551915228366852,3844,0.0,0.0
141,142,2311,28,57,57,1596,1.0,3.0,2.0,73.0,179.0,53.5,4.76837158203125,3249,0.0,0.0
142,143,1289,23,61,71,1278,1.0,3.0,2.0,72.0,159.0,43.5,11.641532182693481,3721,0.0,0.0
143,144,1527,35,63,63,1672,1.0,3.0,2.0,72.0,194.0,59.84615384615385,18.189894035458565,3969,0.0,0.0
144,145,2779,30,63,63,1569,1.0,3.0,2.0,68.0,146.0,55.96153846153846,18.189894035458565,3969,0.0,0.0
145,146,2573,26,63,66,1525,1.0,3.0,2.0,70.0,152.0,57.46153846153846,18.189894035458565,3969,0.0,0.0
146,147,1916,22,62,67,1451,1.0,3.0,2.0,76.0,183.0,51.23076923076923,14.551915228366852,3844,0.0,0.0
147,148,8073,30,73,73,1804,1.0,3.0,3.0,67.0,148.0,66.84615384615384,169.40658945086008,5329,0.0,0.0
148,149,3600,18,62,77,1390,1.0,3.0,2.0,73.0,165.0,47.84615384615385,14.551915228366852,3844,0.0,0.0
149,150,16109,31,74,74,1899,2.0,4.0,4.0,73.0,181.0,68.23076923076923,211.75823681357508,5476,0.0,10239.0
150,151,10558,26,74,74,1887,1.0,2.0,3.0,62.0,134.0,65.11538461538461,211.75823681357508,5476,0.0,5045.0
151,152,1364,20,54,67,990,1.0,1.0,1.0,71.0,165.0,0.0,2.44140625,2916,0.0,0.0
152,153,6728,29,70,70,1693,1.0,2.0,2.0,72.0,181.0,61.38461538461539,86.73617379884035,4900,0.0,0.0
153,154,3496,26,64,65,1426,1.0,3.0,2.0,76.0,205.0,50.80769230769231,22.737367544323206,4096,0.0,0.0
154,155,1474,17,48,66,1251,1.0,2.0,2.0,70.0,150.0,41.88461538461539,0.64,2304,0.0,0.0
155,156,5404,20,64,74,1699,1.0,3.0,2.0,70.0,161.0,60.76923076923077,22.737367544323206,4096,0.0,0.0
156,157,8198,22,65,74,1717,1.0,3.0,2.0,69.0,150.0,63.07692307692308,28.421709430404007,4225,0.0,0.0
157,158,9612,35,71,71,1698,1.0,3.0,3.0,72.0,165.0,60.84615384615385,108.42021724855044,5041,0.0,0.0
158,159,2478,18,62,81,1630,1.0,2.0,3.0,72.0,165.0,60.07692307692308,14.551915228366852,3844,0.0,0.0
159,160,5828,31,68,68,1180,1.0,2.0,1.0,77.0,181.0,0.0,55.51115123125783,4624,0.0,0.0
160,161,2444,24,67,72,1616,1.0,2.0,2.0,69.0,150.0,56.26923076923077,44.40892098500626,4489,0.0,0.0
161,162,2738,27,58,59,1241,1.0,3.0,2.0,76.0,187.0,43.96153846153846,5.9604644775390625,3364,0.0,8319.0
162,163,1514,20,61,74,858,1.0,3.0,1.0,78.0,194.0,0.0,11.641532182693481,3721,0.0,5287.0
163,164,6117,32,70,70,1816,1.0,2.0,3.0,72.0,172.0,66.46153846153847,86.73617379884035,4900,0.0,0.0
164,165,2406,21,66,73,1781,1.0,3.0,2.0,74.0,159.0,66.76923076923077,35.52713678800501,4356,0.0,0.0
165,166,3215,22,60,70,1518,1.0,2.0,2.0,71.0,161.0,55.19230769230769,9.313225746154785,3600,0.0,0.0
166,167,337,20,54,67,1270,1.0,3.0,2.0,72.0,168.0,0.0,2.44140625,2916,0.0,0.0
167,168,25503,33,75,75,1649,2.0,3.0,2.0,73.0,176.0,64.53846153846153,264.6977960169689,5625,0.0,10178.0
168,169,9509,24,77,79,1909,1.0,3.0,5.0,63.0,134.0,68.8076923076923,413.59030627651384,5929,0.0,6655.0
169,170,2581,21,65,75,1617,1.0,3.0,2.0,71.0,163.0,59.26923076923077,28.421709430404007,4225,0.0,0.0
170,171,1905,23,62,71,1551,1.0,3.0,2.0,69.0,163.0,52.61538461538461,14.551915228366852,3844,0.0,0.0
171,172,4778,25,67,70,1706,1.0,3.0,3.0,69.0,168.0,60.65384615384615,44.40892098500626,4489,0.0,0.0
172,173,3028,22,64,72,1560,1.0,2.0,3.0,69.0,143.0,56.0,22.737367544323206,4096,0.0,0.0
173,174,49852,25,73,76,1788,1.0,3.0,3.0,70.0,172.0,63.19230769230769,169.40658945086008,5329,0.0,0.0
174,175,11861,23,66,74,1728,1.0,3.0,3.0,73.0,170.0,63.42307692307692,35.52713678800501,4356,0.0,0.0
175,176,5324,29,68,68,1642,1.0,2.0,2.0,71.0,168.0,61.57692307692308,55.51115123125783,4624,0.0,0.0
176,177,2431,32,66,66,1401,1.0,3.0,2.0,71.0,159.0,51.76923076923077,35.52713678800501,4356,0.0,1231.0
177,178,2510,29,63,63,1584,1.0,3.0,2.0,74.0,172.0,58.0,18.189894035458565,3969,0.0,0.0
178,179,12774,34,71,71,1823,1.0,3.0,2.0,70.0,161.0,65.34615384615384,108.42021724855044,5041,0.0,0.0
179,180,1203,24,59,66,1547,1.0,2.0,2.0,70.0,163.0,53.92307692307692,7.450580596923828,3481,0.0,0.0
180,181,1283,23,67,75,1686,1.0,2.0,2.0,68.0,132.0,61.15384615384615,44.40892098500626,4489,0.0,0.0
181,182,8104,26,69,71,1885,1.0,3.0,3.0,70.0,157.0,67.6923076923077,69.38893903907228,4761,0.0,0.0
182,183,11778,18,73,86,1809,1.0,3.0,3.0,70.0,165.0,64.46153846153847,169.40658945086008,5329,0.0,0.0
183,184,4230,26,56,57,1414,1.0,3.0,2.0,73.0,172.0,49.88461538461539,3.814697265625,3136,0.0,0.0
184,185,687,21,53,62,1247,1.0,3.0,2.0,75.0,174.0,0.0,1.953125,2809,0.0,0.0
185,186,42558,26,80,81,2096,1.0,4.0,3.0,70.0,154.0,76.61538461538461,807.7935669463161,6400,0.0,18741.0
186,187,5860,26,64,65,1574,2.0,3.0,2.0,73.0,168.0,55.5,22.737367544323206,4096,0.0,0.0
187,188,3136,22,66,72,1709,1.0,2.0,3.0,71.0,168.0,62.96153846153846,35.52713678800501,4356,0.0,0.0
188,189,1761,34,74,74,1122,1.0,3.0,1.0,76.0,198.0,0.0,211.75823681357508,5476,0.0,0.0
189,190,23711,23,73,81,1718,1.0,3.0,2.0,75.0,183.0,61.84615384615385,169.40658945086008,5329,0.0,30150.0
190,191,3694,23,63,67,1726,1.0,3.0,3.0,70.0,159.0,62.38461538461539,18.189894035458565,3969,0.0,0.0
191,192,1234,22,61,68,1469,1.0,3.0,2.0,70.0,154.0,52.5,11.641532182693481,3721,0.0,0.0
192,193,5078,34,67,67,1800,2.0,3.0,2.0,72.0,176.0,63.96153846153846,44.40892098500626,4489,0.0,0.0
193,194,33619,28,75,75,1913,2.0,3.0,3.0,70.0,159.0,69.88461538461539,264.6977960169689,5625,0.0,14984.0
194,195,1328,17,55,73,1354,1.0,3.0,2.0,75.0,176.0,49.73076923076923,3.0517578125,3025,0.0,0.0
195,196,14357,25,70,73,1853,1.0,3.0,3.0,72.0,179.0,62.76923076923077,86.73617379884035,4900,0.0,0.0
196,197,3619,28,66,66,1666,1.0,4.0,3.0,67.0,137.0,57.61538461538461,35.52713678800501,4356,0.0,0.0
197,198,3808,20,67,78,1601,1.0,3.0,3.0,69.0,143.0,57.96153846153846,44.40892098500626,4489,0.0,0.0
198,199,4819,20,61,73,1478,1.0,3.0,2.0,73.0,190.0,50.88461538461539,11.641532182693481,3721,0.0,0.0
199,200,13488,31,72,72,1834,2.0,3.0,3.0,70.0,174.0,63.65384615384615,135.52527156068805,5184,0.0,0.0
200,201,1475,19,62,77,1141,,,,0.0,0.0,0.0,14.551915228366852,3844,0.0,23874.0
201,202,1710,18,59,72,1491,1.0,4.0,2.0,69.0,163.0,52.0,7.450580596923828,3481,0.0,0.0
202,203,31159,26,78,78,2012,1.0,3.0,2.0,74.0,187.0,73.23076923076923,516.9878828456423,6084,0.0,0.0
203,204,24389,22,76,83,1649,1.0,3.0,2.0,72.0,170.0,62.69230769230769,330.8722450212111,5776,0.0,22976.0
204,205,3677,27,67,69,1587,1.0,3.0,2.0,72.0,174.0,59.92307692307692,44.40892098500626,4489,0.0,0.0
205,206,8149,30,69,69,1705,1.0,4.0,2.0,72.0,154.0,57.46153846153846,69.38893903907228,4761,0.0,0.0
206,207,11309,27,71,73,1552,1.0,3.0,2.0,75.0,185.0,57.96153846153846,108.42021724855044,5041,0.0,0.0
207,208,2477,24,65,71,1448,1.0,3.0,2.0,73.0,176.0,50.30769230769231,28.421709430404007,4225,0.0,0.0
208,209,1837,21,63,72,1745,1.0,3.0,2.0,67.0,148.0,62.23076923076923,18.189894035458565,3969,0.0,0.0
209,210,14110,24,75,79,2044,1.0,3.0,3.0,69.0,154.0,73.8076923076923,264.6977960169689,5625,0.0,0.0
210,211,1758,26,68,71,1932,1.0,3.0,3.0,70.0,168.0,68.38461538461539,55.51115123125783,4624,0.0,0.0
211,212,1634,26,67,69,1731,1.0,3.0,2.0,70.0,154.0,63.69230769230769,44.40892098500626,4489,0.0,0.0
212,213,11649,17,64,85,1604,1.0,3.0,4.0,72.0,141.0,56.26923076923077,22.737367544323206,4096,263.0,0.0
213,214,6101,23,69,73,1628,1.0,3.0,2.0,73.0,170.0,59.11538461538461,69.38893903907228,4761,0.0,0.0
214,215,11646,19,63,76,1556,1.0,3.0,3.0,69.0,165.0,54.15384615384615,18.189894035458565,3969,321.0,0.0
215,216,1446,23,64,69,1511,1.0,3.0,2.0,73.0,174.0,53.46153846153846,22.737367544323206,4096,0.0,0.0
216,217,4921,26,66,68,1804,1.0,2.0,3.0,67.0,174.0,61.92307692307692,35.52713678800501,4356,0.0,0.0
217,218,3585,26,66,69,1604,1.0,2.0,2.0,73.0,168.0,62.0,35.52713678800501,4356,0.0,0.0
218,219,1472,33,70,70,1917,2.0,4.0,3.0,69.0,168.0,69.07692307692308,86.73617379884035,4900,0.0,0.0
219,220,1380,22,57,62,1452,1.0,3.0,2.0,64.0,137.0,51.76923076923077,4.76837158203125,3249,0.0,4454.0
220,221,41864,28,77,77,1966,2.0,4.0,4.0,67.0,143.0,68.0,413.59030627651384,5929,0.0,23027.0
221,222,4823,21,70,82,1693,1.0,3.0,2.0,74.0,165.0,62.88461538461539,86.73617379884035,4900,0.0,2824.0
